Tuần,Hạng,Tên bài hát,Ca sĩ,Nhạc sĩ,Album,Có MV,Tổng Điểm,Số Tuần Đứng BXH,Điểm Trung Bình,Single
35,31,ai khoc noi dau nay,bao anh,duc tri,,FALSE,217,6,36,FALSE
35,1,buon khong em,dat g,dat g,,FALSE,77,12,6,FALSE
35,11,catena,toc tien touliver,bui cong nam,catena single,TRUE,247,10,25,TRUE
35,12,cham day noi dau,erik,mr siro,cham day noi dau single,TRUE,282,12,24,TRUE
35,27,co gai m52,huyr tung viu,huyrtung viu,,FALSE,271,8,34,FALSE
35,24,cu lac,osad turn hirn,osad,,FALSE,109,4,27,FALSE
35,25,cuoc song em on khong,anh tu,vuong anh tu,,FALSE,293,9,33,FALSE
35,23,dep nhat la em,soobin hoang son jiyeon,krazy parkeddy s park,,FALSE,253,9,28,FALSE
35,37,dung ai nhac ve anh ay,tra my idol,mr siro,dung ai nhac ve anh ay single,TRUE,76,2,38,TRUE
35,7,dung nhu thoi quen,jaykii sara luu,duong khac linhhoang huy longjaykii,,FALSE,190,12,16,FALSE
35,5,dung quen ten anh,hoa vinh,dat g,,FALSE,113,12,9,FALSE
35,2,duyen minh lo,huong tram,tu dua,duyen minh lo single,TRUE,123,12,10,TRUE
35,4,gui anh va co ay,huong tram,nguyen hong thuan,gui anh va co ay single,FALSE,229,12,19,TRUE
35,32,hom nay toi buon,phung khanh linh,phung khanh linh,,FALSE,104,3,35,FALSE
35,22,ket thuc mot cuoc tinh,cao nam thanh,cao nam thanh,ket thuc mot cuoc tinh single,FALSE,330,11,30,TRUE
35,9,lo thuong mot nguoi,nguyen dinh vu,nguyen dinh vu,lo thuong mot nguoi single,TRUE,222,12,19,TRUE
35,40,minh cuoi nhau di,huynh james pjnboys,huynh jamespjnboys,,FALSE,40,1,40,FALSE
35,35,ngam hoa le roi,chau khai phong,duy cuong,,FALSE,73,2,37,FALSE
35,21,nguoi am phu,osad vrt,osadvrt,,FALSE,301,10,30,FALSE
35,30,nguoi doi thay,cao nam thanh,cao nam thanh,,FALSE,209,6,35,FALSE
35,14,roi bo,hoa minzy,vu huy hoang,roi bo single,TRUE,279,11,25,TRUE
35,17,roi nguoi thuong cung hoa nguoi dung,hien ho,rin9,,FALSE,320,12,27,FALSE
35,19,sai,uni5,tung maru,sai single,TRUE,19,1,19,TRUE
35,6,sai nguoi sai thoi diem,thanh hung,thanh hung,,FALSE,172,12,14,FALSE
35,13,sao em no,jaykii,duong khac linhtrang phap,,TRUE,271,12,23,FALSE
35,26,sofar,binz,binz,,FALSE,114,4,29,FALSE
35,10,suyt nua thi chuyen di cua thanh xuan ost,andiez,andiez,suyt nua thi chuyen di cua thanh xuan ost single,FALSE,138,12,12,TRUE
35,28,tam su tuoi 30 ong ngoai tuoi 30 ost,trinh thang binh,,,TRUE,305,9,34,FALSE
35,3,tan cung noi nho,will,andiez,tan cung noi nho single,TRUE,64,12,5,TRUE
35,20,tan cung noi nho new version,will han sara,andiez,,FALSE,207,12,17,FALSE
35,29,tap co don,le bao binh,le bao binh,,FALSE,97,3,32,FALSE
35,15,thay the,ho gia hung,dong thien duc,thay the single,FALSE,162,12,14,TRUE
35,18,u co anh day,tino,tang nhat tue,u co anh day single,FALSE,153,8,19,TRUE
35,34,vi yeu la nho ong ngoai tuoi 30 ost,han sara,onlycquang hung,,FALSE,258,7,37,FALSE
35,38,vo cung vi anh thuong em,phan duy anh,vo hoai phuc,vo cung vi anh thuong em single,FALSE,390,11,35,TRUE
35,16,vo thuong,karik orange,karik,,FALSE,248,9,28,FALSE
35,39,y em sao,kay tran lang ld,kay tranlang ld,,TRUE,79,2,40,FALSE
35,36,yeu duong,osad turn hirn,osad,,FALSE,73,2,37,FALSE
35,8,yeu roi gao nep gao te ost,tino,tang nhat tue,,FALSE,243,12,20,FALSE
35,33,yeu thuong ngay do yeu em bat chap ost,soobin hoang son,khoa nguyen,yeu thuong ngay do yeu em bat chap ost single,TRUE,228,6,38,TRUE
36,30,em oi em dau roi,chu bin,dinh tung huy,,FALSE,102,3,34,FALSE
36,20,phai the thoi,le bao binh,le bao binh,,FALSE,151,7,22,FALSE
37,26,ai la ai cua ai,trinh thang binh,trinh thang binhnguyen van trung,,FALSE,48,2,24,FALSE
37,21,em hanh phuc chu,nguyen dinh vu,bao thach,em hanh phuc chu single,FALSE,46,2,23,TRUE
37,14,minh chia tay di,erik,shin hyun wookrazy park,,FALSE,83,4,21,FALSE
37,30,phia sau em,kay tran binz,kay tranbinz,,FALSE,125,4,31,FALSE
37,18,thanh xuan,da lab,da lab,,FALSE,183,10,18,FALSE
38,5,chuyen tinh toi,kay tran nguyen khoa kass,nguyen khoa,chuyen tinh toi single,TRUE,50,9,6,TRUE
38,29,con yeu dau ai roi di,duc phuc,nguyen hong thuan,con yeu dau ai roi di single,TRUE,98,9,11,TRUE
38,27,do em biet anh dang nghi gi,den justatee bien,den,do em biet anh dang nghi gi single,FALSE,104,4,26,TRUE
38,15,don coi tinh toi,chau khai phong,duy cuong,don coi tinh toi single,TRUE,193,9,21,TRUE
39,1,cang niu giu cang de mat,mr siro,mr siro,,FALSE,24,8,3,FALSE
39,22,gia ngay dau dung noi thuong nhau,isaac,ngoc dolil,gia ngay dau dung noi thuong nhau single,FALSE,22,1,22,TRUE
40,13,hongkong1 official version,nguyen trong tai san ji double x,nguyen trong taisan jidouble x,,FALSE,32,7,5,FALSE
41,19,thang dien,justatee phuong ly,virussjustatee,,TRUE,31,6,5,FALSE
41,21,yeu don phuong,onlyc karik,onlyckarik,,FALSE,91,6,15,FALSE
42,19,dung noi toi dien,hien ho,phuc bo,,FALSE,54,5,11,FALSE
42,22,nguoi am phu edm version,osad khanh vy,osad,nguoi am phu edm version single,FALSE,22,1,22,TRUE
42,17,nguoi ta,si thanh,huynh quoc huy,,FALSE,109,5,22,FALSE
42,23,nhu loi don,bao anh,khac hung,nhu loi don single,FALSE,100,5,20,TRUE
42,8,vo tinh,xesi hoaprox,xesi,vo tinh single,FALSE,15,5,3,TRUE
43,37,co mot noi nhu the,phan manh quynh,phan manh quynh,co mot noi nhu the single,FALSE,148,4,37,TRUE
43,25,em ngu chua,trinh thang binh osad,trinh thang binhosad,,FALSE,67,4,17,FALSE
43,11,mai mai se het vao ngay mai,andiez,andiez,,FALSE,47,4,12,FALSE
43,20,tam tu em giau,wendy thao,wendy thao,tam tu em giau single,FALSE,92,4,23,TRUE
44,5,chap nhan,hoa minzy,an trinh,chap nhan single,TRUE,17,3,6,TRUE
44,6,em khong the,tien tien touliver,tien tien,em khong the single,TRUE,11,3,4,TRUE
44,7,nguoi la thoang qua,khoi my,bao thach,nguoi la thoang qua single,FALSE,23,3,8,TRUE
45,31,tat ca se thay em,pham quynh anh,hamlet truong,tat ca se thay em single,TRUE,69,2,35,TRUE
45,30,yeu mot nguoi sau anh,gin tuan kiet,andiez,yeu mot nguoi sau anh single,TRUE,55,2,28,TRUE
46,1,anh dang o dau day anh,huong giang,andiez,anh dang o dau day anh single,TRUE,1,1,1,TRUE
46,8,mau nuoc mat,nguyen tran trung quan,nguyen thuong,mau nuoc mat single,TRUE,8,1,8,TRUE